Curv,theta,xi,yi,sLap
-0.000543872713389904,-0.775529925795777,-7.44859640703598e-34,7.14976401104774e-34,0
0.000555312762114424,-0.775548369492622,0.142135117624211,-0.139411146865831,0.199092605035666
0.00278868556273341,-0.774192405918042,0.630979578846959,-0.618090001018595,0.883272684417258
0.00130347500268656,-0.772580503492889,1.12053376681705,-1.09604285559721,1.56745276379885
-7.6395095586336e-05,-0.772428321289351,1.26314203560615,-1.23497000274694,1.76654536883452
-0.00177966988185531,-0.772577877288096,1.40571905167103,-1.37392751038026,1.96563797387018
-0.00985186600601302,-0.776461076786484,1.89498671289257,-1.85217774909319,2.64981805325177
-0.0196049016292279,-0.786442110520828,2.38092052843488,-2.33380132698302,3.33399813263336
-0.022428736081535,-0.790656889343543,2.5212749807136,-2.47500772740095,3.53309073766903
-0.0251485669950273,-0.795382505460832,2.66100321563853,-2.61682632433383,3.7321833427047
-0.0328216676442243,-0.815408087939511,3.13518597415023,-3.11002782152395,4.41636342208629
-0.037082638371803,-0.839516197369144,3.5983573160791,-3.61355657130736,5.10054350146788
-0.0375277160042164,-0.846963498120401,3.73074460661549,-3.76226000330242,5.29963610650355
-0.0376548637674899,-0.854469743557946,3.86205511666798,-3.91191331076875,5.49872871153921
-0.0356030312879849,-0.879695371087518,4.30463708816718,-4.43363347712872,6.1829087909208
-0.0306601827029653,-0.902528187894102,4.73456482501386,-4.96584660732079,6.8670888703024
-0.0288599863958955,-0.908439226182987,4.85743917863134,-5.12249522400852,7.06618147533806
-0.0269796546326398,-0.914010158252378,4.97943061650623,-5.27983828471476,7.26527408037373
-0.0204701815540163,-0.930206273403822,5.392571867214,-5.82518146323674,7.94945415975532
-0.0145921421120584,-0.942164743905429,5.79800367412783,-6.37629718702482,8.63363423913691
-0.0131327661065798,-0.944910579541595,5.91485548280675,-6.53748861124179,8.83272684417258
-0.0117788541497085,-0.947385311348249,6.03127504526432,-6.69899568069966,9.03181944920824
-0.00806133495940713,-0.954100035468346,6.42873836200453,-7.25588172360796,9.71599952858983
-0.00561377895971743,-0.958705748772001,6.82304480965187,-7.81501078166737,10.4001796079714
-0.00510650912992048,-0.959774473367694,6.9373597927142,-7.97801319455932,10.5992722130071
-0.00466930824698386,-0.960742808676237,7.0514970656315,-8.14114065809309,10.7983648180428
-0.00359265344307418,-0.963544342012447,7.44265799624763,-8.70247391303644,11.4825448974244
-0.00295099755853993,-0.965758058377046,7.83241027752828,-9.26478656270568,12.1667249768059
-0.00280379595518692,-0.966334515704514,7.94560845088858,-9.42856695605671,12.3658175818416
-0.00266894874308534,-0.966879003770155,8.05871154644832,-9.59241310774289,12.5649101868773
-0.00222681465494899,-0.968552764976443,8.44675231958734,-10.1559080729317,13.2490902662589
-0.00180275806823243,-0.969930210980389,8.83393303004554,-10.7199944634198,13.9332703456405
-0.00167996252374404,-0.970277155577802,8.94646275048473,-10.8842348986388,14.1323629506761
-0.00156247626165799,-0.970600187316394,9.05893663720344,-11.0485136030493,14.3314555557118
-0.00120729617191691,-0.971542207494754,9.44508863181632,-11.6133046813876,15.0156356350934
-0.000948430784267612,-0.97227416883138,9.83076778894305,-12.1784188006052,15.699815714475
-0.000895154323576071,-0.972457161342149,9.94292645067098,-12.3429128656019,15.8989083195106
-0.00085102868976428,-0.972630398139643,10.0550545563919,-12.507427768892,16.0980009245463
-0.000771235408679745,-0.973180439966493,10.4401786844664,-13.0729202742426,16.7821810039279
-0.000777709994048702,-0.973705400197814,10.824998805856,-13.6386197050481,17.4663610833095
-0.000791096271205905,-0.973861915931622,10.9369242404536,-13.8032725586414,17.6654536883452
-0.000807201790401226,-0.974020643273608,11.0488231129356,-13.9679434644668,17.8645462933808
-0.000875076957303046,-0.974596181541693,11.4331568416424,-14.5339734603841,18.5487263727624
-0.000942119632656915,-0.975217873859789,11.8171516637702,-15.1002334176978,19.232906452144
-0.000957670157486936,-0.975407370568449,11.9288245985328,-15.2650576311208,19.4319990571797
-0.000970856611975578,-0.975599377078911,12.0404664946329,-15.4299028688952,19.6310916622153
-0.00098076406572439,-0.976270293652997,12.4238763170686,-15.9965590878804,20.3152717415969
-0.000933027415150701,-0.976928269235638,12.8069095435056,-16.5634699385292,20.9994518209785
-0.000907784466757674,-0.977111648418469,12.9183003756066,-16.728484930746,21.1985444260142
-0.000878817941985585,-0.977289775514832,13.0296617907007,-16.8935197789941,21.3976370310499
-0.000768396084485753,-0.977853395298526,13.4121406310324,-17.4608048048349,22.0818171104314
-0.000655794590325308,-0.978340721014998,13.794321330864,-18.0282907421336,22.765997189813
-0.000625374974446144,-0.978467985399878,13.9054839856247,-18.1934595313536,22.9650897948487
-0.000593878998641337,-0.978588153324671,14.01662697221,-18.3586415596774,23.1641823998844
-0.000468465383728848,-0.978957181762048,14.3984221410818,-18.9263869429086,23.848362479266
-0.000244638986280826,-0.979206738669735,14.7800416969098,-19.4942503924236,24.5325425586475
-0.000147534488785664,-0.979247258908067,14.8910676081326,-19.6595111316034,24.7316351636832
-3.0624082618639e-05,-0.979264567508482,15.0020919473125,-19.8247729218053,24.9307277687189
0.000569341881051958,-0.97910061247531,15.3836348185795,-20.3926879150559,25.6149078481005
0.00152596762752106,-0.978404162922234,15.7654219437056,-20.9604386717906,26.2990879274821
0.00188065122222043,-0.978066475176045,15.8766091187915,-21.1255909709818,26.4981805325177
0.00226857732071108,-0.977654066725097,15.9878635039724,-21.2906978560555,26.6972731375534
0.00386433194873679,-0.975579060005239,16.3708295302213,-21.8576542903102,27.381453216935
0.00586349713325687,-0.972274267024021,16.755318800227,-22.4235779110692,28.0656332963166
0.00652036360274377,-0.971042001065499,16.8675886812458,-22.5879962538124,28.2647259013522
0.00721003121308727,-0.969675971888561,16.980077305936,-22.7522642897632,28.4638185063879
0.00983968911651747,-0.963865652494818,17.3685738057595,-23.3154454377996,29.1479985857695
0.0128590709162786,-0.956122852884794,17.7608760593455,-23.8759785688732,29.8321786651511
0.0138085544575094,-0.953468503563668,17.8759018532107,-24.0384812601821,30.0312712701868
0.0147855720349299,-0.950624804255734,17.991376794382,-24.2006630438227,30.2303638752224
0.0183423458739573,-0.939302069128333,18.3920348883402,-24.7552566228909,30.914543954604
0.0220744353976926,-0.925485886443863,18.7996277398561,-25.3047647968342,31.5987240339856
0.0231683300982518,-0.920979888764549,18.9197258527326,-25.4635563103915,31.7978166390213
0.0242527904230862,-0.916262297392752,19.0405513993912,-25.6217913946505,31.9969092440569
